category;name;price
Дисплей;Дисплей iPhone 11 + тачскрин (Копия - Incell FHD);2090
Дисплей;Тачскрин кит. 7'' HK70DR2671-V2 черный;50
Дисплей;Дисплей ZTE Blade A3 (2019) + тачскрин в сборе черный;100
Дисплей;Тачскрин ZTE Blade AF3 черный;50
Дисплей;Дисплей Asus ZenFone 2 (ZE550ML) 5.5'' + тачскрин черный;50
Дисплей;Тачскрин Asus ZenFone Go (ZC500TG) черный;50
Дисплей;Дисплей Asus ZenPad 7.0 (ZE370C/CG) + тачскрин белый;50
Дисплей;Дисплей iPhone 11 + тачскрин (Оригинал/CG);2690
Дисплей;Дисплей кит. 7'' SL007DC24B52 rev1.04-50pin;100
Дисплей;Дисплей кит. 7'' AL0628A/IPS;100
Дисплей;Дисплей ZTE Blade A530 + тачскрин черный;100
Дисплей;Дисплей Sony C3 D2502/D2533 + тачскрин черный 2 класс;50
Дисплей;Дисплей ZTE Blade A7 (2019) + тачскрин черный;100
Дисплей;Дисплей ZTE Blade A610 + тачскрин черный;100
Дисплей;Дисплей Sony E4g E2033 в сборе черный 1 класс;50
Дисплей;Дисплей кит. 7'' HJ070NA-13A/40pin;100
Дисплей;Дисплей ZTE Blade A5 + тачскрин черный;100
Дисплей;Дисплей Samsung A515F A51 в сборе черный (OLED/Узкая рамка);3190
Дисплей;Дисплей Xiaomi Redmi 9A/Redmi 9C/Redmi 10A + тачскрин черный (Premium);1390
Дисплей;Дисплей кит. 9'' YH090IF40H-B 40pin;100
Дисплей;Дисплей ZTE Blade A51 Lite + тачскрин черный;100
Дисплей;Дисплей Asus P320;50
Дисплей;Дисплей Realme C30/C33/Narzo 50i Prime + тачскрин черный;1140
Дисплей;Дисплей Tecno Spark 10 (4G)/10C (KI5q/KI5k/KI5m) + тачскрин черный;1090
Дисплей;Дисплей Huawei Honor 10 Lite/Honor 10i/Honor 20e + тачскрин черный (Premium);1790
Дисплей;Дисплей Infinix Hot 30i (X669D) + тачскрин черный (Premium);1190
Дисплей;Дисплей Itel Vision 3 (S661LPN) + тачскрин черный;1090
Дисплей;Дисплей Huawei Honor 10 Lite/Honor 10i/Honor 20e + тачскрин черный;1190
Дисплей;Дисплей Lenovo Tab M10 HD (TB-X306F/TB-X306X) + тачскрин черный;2390
Дисплей;Дисплей Vivo Y31 + тачскрин черный;1340
Дисплей;Дисплей Xiaomi Redmi 10C/Poco C40  + тачскрин черный (Premium);1540
Дисплей;Дисплей Xiaomi Redmi 10C/Poco C40 + тачскрин черный (Оригинал NEW);1690
Дисплей;Дисплей iPhone 11 + тачскрин (Копия - Incell HD);1590
Дисплей;Дисплей Lenovo Tab M8 (TB-8505X/TB-8505F/TB-8505FS) + тачскрин черный;1890
Дисплей;Дисплей TCL 30SE/30E (6165H/6156H1/6165A/6165A1/6165S/6127A/6127l) + тачскрин черный;1140
Дисплей;Дисплей Tecno Spark 10 (4G)/10C (KI5q/KI5k/KI5m) + тачскрин черный (Premium);1190
Дисплей;Дисплей Infinix Note 30 (4G/5G) (X6833B/6716B/X6711) + тачскрин черный (Premium);1590
Дисплей;Дисплей iPhone XR + тачскрин (Копия - Incell FHD);2190
Дисплей;Дисплей Xiaomi Redmi Note 10/Redmi Note 10S/Poco M5s + тачскрин черный (OLED);3340
Дисплей;Дисплей Huawei Honor 10X Lite/Huawei P Smart (2021)  + тачскрин черный (Premium);1540
Дисплей;Дисплей iPhone 11 + тачскрин (Оригинал 100% снятый);5390
Дисплей;Дисплей Xiaomi Redmi 9A/Redmi 9C/Redmi 10A + тачскрин черный;1140
Дисплей;Дисплей Asus ZenFone 4 (A400CG) 4'' + тачскрин черный;50
Дисплей;Дисплей Samsung M305F/M307F/M215F/M315F + тач черный (OLED);2690
Дисплей;Дисплей Huawei Honor 20/Honor 20 Pro + тачскрин черный (Оригинал NEW);2590
Дисплей;Дисплей iPhone X + тачскрин (Копия - Hard OLED);3090
Дисплей;Дисплей Huawei P Smart Z/Honor 9X/Honor 9X Premium + тачскрин черный;1140
Дисплей;Дисплей Huawei Honor 20/Honor 20 Pro/Nova 5T + тачскрин черный (Premium);1990
Дисплей;Дисплей iPhone XR + тачскрин (Копия - Incell HD);1590
Дисплей;Дисплей Samsung M127F M12+ тач черный (Оригинал/CG);1390
Дисплей;Дисплей Huawei P Smart Z/Honor 9X/Honor 9X Premium/Huawei Y9s/Huawei Y9 Prime (2019) + тачскрин черный (Оригинал NEW);2390
Дисплей;Дисплей Huawei P Smart Z/Honor 9X/Honor 9X Premium + тачскрин черный (Premium);1940
Дисплей;Дисплей Itel A49 (A661L) + тачскрин черный;1040
Дисплей;Дисплей Tecno Spark 10 Pro (KI7) + тачскрин черный;1490
Дисплей;Дисплей Tecno Pova Neo 2 (LG6n) + тачскрин черный (Premium);1290
Дисплей;Дисплей Infinix Hot 30i (X669D) + тачскрин черный;1090
Дисплей;Дисплей Samsung A325F A32 в сборе черный (OLED);2890
Дисплей;Дисплей Sony E4 Dual E2115 2 класс;50
Дисплей;Дисплей iPhone 11 Pro + тачскрин (Копия - Hard OLED);3490
Дисплей;Тачскрин Sony E4 E2105/E2104 белый 1 класс;50
Дисплей;Дисплей iPhone X + тачскрин (Копия - Incell HD);1590
Дисплей;Дисплей Huawei Honor 10 Lite/Honor 10i/Honor 20e + тачскри черный (Оригинал NEW);2190
Дисплей;Дисплей Tecno Spark 8C (KG5k/KG5j/KG5n/KG5k) + тачскрин черный (Premium);1190
Дисплей;Тачскрин кит. 10.1'' YCF0464-A/FM102101KA белый;50
Дисплей;Дисплей Infinix Note 30 (4G/5G) (X6833B/6716B/X6711) + тачскрин черный;1440
Дисплей;Дисплей Sony E3 D2202/D2203 + тачсрин черный 1 класс;50
Дисплей;Дисплей ZTE Blade S6 Lite + тачскрин белый;100
Дисплей;Дисплей iPhone XR + тачскрин (Оригинал/CG);2890
Дисплей;Дисплей Xiaomi Redmi Note 8 Pro + тачскрин черный (Premium);2140
Дисплей;Дисплей Infinix Note 11/12 (X663/X663B/X663C/X663D) + тачскрин черный (InCell);1340
Дисплей;Тачскрин Sony E4 E2105/E2104 черный 2 класс;50
Дисплей;Дисплей Realme C25/C25s/Oppo A16/A16s/A56 (4G) + тачскрин черный (Premium);1340
Дисплей;Дисплей Realme C21Y\C25Y + тачскрин черный (Premium);1240
Дисплей;Дисплей iPhone XR + тачскрин (Оригинал);4690
Дисплей;Дисплей Realme 8i/9iNarzo 50 4G + тачскрин черный (Premium);1440
Дисплей;Дисплей Itel Vision1 Pro (L6502) + тачскрин черный;1040
Дисплей;Дисплей iPhone 7 + тач черный  (Копия - TM);950
Дисплей;Дисплей iPhone X + тачскрин (Копия - Incell FHD);2190
Дисплей;Дисплей Xiaomi Redmi Note 12 (4G/5G)/POCO X5 (5G) + тачскрин черный (OLED);3890
Дисплей;Дисплей iPhone 12/12 Pro + тачскрин (Оригинал/CG);7890
Дисплей;Дисплей iPhone 12 mini + тачскрин (Оригинал 100% снятый);11090
Дисплей;Дисплей Realme C21/C11 (2021)/Narzo 50i + тачскрин черный (Premium);1240
Дисплей;Дисплей Tecno Spark 20 Pro (KJ6) + тачскрин черный (Premium);1540
Дисплей;Дисплей Samsung A127F A12s+ тач черный (Оригинал/CG);1390
Дисплей;Дисплей Asus ZenFone C (ZC451CG) в сборе черный;50
Дисплей;Дисплей Oppo A5 (2020)/A9 (2020)/A31/Realme 5/5i/5s/6i/Realme C3 + тачскрин черный (Premium);1190
Дисплей;Дисплей iPhone X + тачскрин (Копия - Soft OLED);4590
Дисплей;Тачскрин iPad Air 2 (2014) черный 1 класс;790
Дисплей;Дисплей Itel Vision 3 Plus (P682LPN) + тачскрин черный;1190
Дисплей;Дисплей Huawei Honor 20/Honor 20 Pro/Nova 5T + тачскрин черный;1390
Дисплей;Дисплей iPhone 6S Plus +тач черный  (Копия - LT);590
Дисплей;Дисплей Xiaomi Redmi 9T/Poco M3 + тачскрин черный;1340
Дисплей;Дисплей iPhone 6 + тач черный  (Копия - LT);540
Дисплей;Тачскрин Huawei U8230 (Мегафон U8230) (Н/З!);50
Дисплей;Дисплей Lenovo Tab M10 FHD Plus (TB-X606X/TB-X606F) + тачскрин черный;2990
Дисплей;Дисплей Huawei U8110 (Мегафон U8110) (Н/З!);50
Дисплей;Тачскрин кит. 10.1'' YCF0464-A/FM102101KA черный;50
Дисплей;Дисплей Huawei U8150 Ideos (Н/З!);50
Дисплей;Тачскрин Huawei Ascend G6 черный;50
Дисплей;Тачскрин Huawei Honor 4A белый;50
Дисплей;Дисплей Huawei Nova + тачскрин черный;690
Дисплей;Дисплей Huawei Y3 (2017) + тачскрин черный;590
Дисплей;Дисплей Samsung A315F A31 в сборе черный (OLED);2790
Дисплей;Дисплей Huawei Ascend Y520;50
Дисплей;Дисплей ZTE Blade AF3 + тачскрин черный;100
Дисплей;Дисплей iPhone 11 Pro + тачскрин (Копия - Soft OLED);5190
Дисплей;Тачскрин Sony E C1505/C1605 белый 1 класс;50
Дисплей;Тачскрин Samsung T590/T595 Tab A 10.5 (2018) черный 1кл;290
Дисплей;Дисплей ZTE Blade A310 + тачскрин синий;100
Дисплей;Тачскрин Sony M2 Aqua D2403 черный 1 класс;50
Дисплей;Дисплей Infinix Hot 40i (X6528B) + тачскрин черный;1140
Дисплей;Дисплей Huawei Honor 8X/Honor 9X Lite + тачскрин черный (Оригинал NEW);2090
Дисплей;Дисплей Huawei Y5 Lite (2019) + тачскрин черный;50
Дисплей;Дисплей iPhone XS Max + тачскрин (Оригинал/CG);6990
Дисплей;Дисплей Vivo V15 + тачскрин черный;890
Дисплей;Дисплей ZTE Blade A610C + тачскрин черный;100
Дисплей;Дисплей Vivo Y91/Y91c/Y91i/ Y93/Y93 Lite/Y95/Y1s + тачскрин черный (Premium);1090
Дисплей;Тачскрин кит. 5.5'' WTP-CI5.0FA-F QT073254586;50
Дисплей;Тачскрин Huawei U8100 (Н/З!);50
Дисплей;Дисплей Huawei Ascend G630;50
Дисплей;Дисплей Sony E4 E2115/E2114 в сборе белый 1 класс;50
Дисплей;Дисплей ZTE Blade Z7+ тачскрин черный;100
Дисплей;Тачскрин Huawei Ascend G610 черный;50
Дисплей;Тачскрин Sony C C2305 белый 1 класс;50
Дисплей;Дисплей Xiaomi Redmi Note + тачскрин черный;50
Дисплей;Дисплей Oppo Find 7 + тачскрин черный;190
Дисплей;Тачскрин Sony Go ST27i 1 класс;50
Дисплей;Дисплей Huawei Ascend G610;50
Дисплей;Дисплей iPhone XS + тачскрин (Оригинал);6790
Дисплей;Тачскрин Asus ZenFone 6 (A600CG) черный;50
Дисплей;Дисплей ZTE Nubia Z11 mini + тачскрин черный;100
Дисплей;Тачскрин Sony M2 Aqua D2403 белый 1 класс;50
Дисплей;Дисплей iPhone X + тачскрин (Оригинал/CG);4990
Дисплей;Дисплей Lenovo Tab P11/P11 (5G)/P11 Plus/K11 (TB-J606F/TB-J606L/TB-J607Z/TB-J616F/TB-J616X) + тачскрин черный;3740
Дисплей;Дисплей Xiaomi Redmi 6 + тачскрин белый;690
Дисплей;Тачскрин Sony E4 E2105/E2104 белый 2 класс;50
Дисплей;Дисплей TCL 20Y/20E (6156D/6125F/6125D/6125H) + тачскрин черный;1040
Дисплей;Дисплей Sony M C1905/C2005 1 класс;50
Дисплей;Дисплей ZTE V5 PRO + тачскрин;100
Дисплей;Дисплей Tecno Camon 18/Camon 18P/Camon 19 Neo (CH6/CH6nCH7/CH7n/CH6i) + тачскрин черный;1390
Дисплей;Тачскрин Asus Fonepad 7 ME372CG черный;50
Дисплей;Тачскрин кит. 7'' FPC-TP070011 (DR1334) черный;50
Дисплей;Дисплей ZTE Blade L8 (2019) + тачскрин в сборе черный;100
Дисплей;Дисплей iPhone XS + тачскрин (Копия - Incell HD);1590
Дисплей;Дисплей Xiaomi Redmi 6 + тачскрин черный (CG);640
Дисплей;Тачскрин  Iphone 11 в сборе 1 класс(Без микросхемы);950
Дисплей;Дисплей Huawei Honor 8A/Honor 8A Pro/Honor 8A Prime/Huawei Y6 (2019)//Huawei Y6 Pro (2019)/Huawei Y6s + тачскрин черный (Premium);1340
Дисплей;Дисплей Vivo V17 (Не для России) + тачскрин черный;390
Дисплей;Дисплей Samsung A336B A33 в сборе черный (Service Pack OEM);5990
Дисплей;Дисплей Itel A48 (L6006) + тачскрин черный;990
Дисплей;Тачскрин Asus P835 (Н/З!);50
Дисплей;Дисплей Xiaomi Mi MAX 2 + тачскрин белый;990
Дисплей;Дисплей ZTE Blade L7;100
Дисплей;Тачскрин Huawei U7519 (Н/З!);50
Дисплей;Дисплей iPhone 7 + тач черный  (Оригинал/CG);1790
Дисплей;Дисплей Huawei Honor 7C Pro + тачскрин черный;290
Дисплей;Дисплей iPhone 6 Plus +тач черн  (Копия - LT);550
Дисплей;Дисплей Infinix Smart 8 (X6525) + тачскрин черный;1140
Дисплей;Дисплей Xiaomi Redmi 6A + тачскрин черный (CG);840
Дисплей;Дисплей Sony C C2305 2 класс;50
Дисплей;Дисплей iPhone 12/12 Pro + тачскрин (Копия - Hard OLED);4990
Дисплей;Тачскрин ZTE Blade Q lux 3G черный;50
Дисплей;Дисплей ZTE Blade V2 Lite + тачскрин черный;100
Дисплей;Тачскрин кит. 7'' FM704201TE черный;50
Дисплей;Дисплей iPhone 14 Pro Max + тачскрин (Оригинал 100% снятый);35990
Дисплей;Дисплей Tecno Pova Neo 2 (LG6n) + тачскрин черный;1190
