web-scraper-order,web-scraper-start-url,page,name,price,link,instock,wholesale
"1756090736-1","https://green-spark.ru/search/?q=%D0%94%D0%B8%D1%81%D0%BF%D0%BB%D0%B5%D0%B9+%D0%B4%D0%BB%D1%8F&sectionId=0&onlyAvailable=true","","Дисплей для Xiaomi Redmi A3/A3x/Poco C61 + тачскрин (черный) (100% LCD) (universal)","1 050 ₽","/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_mobilnykh_ustroystv/displei_2/dlya_xiaomi/displey_dlya_xiaomi_redmi_a3_a3x_poco_c61_tachskrin_chernyy_100_lcd_universal.html","В наличии:Достаточно","640 ₽?"
"1756090736-2","https://green-spark.ru/search/?q=%D0%94%D0%B8%D1%81%D0%BF%D0%BB%D0%B5%D0%B9+%D0%B4%D0%BB%D1%8F&sectionId=0&onlyAvailable=true","","Дисплей для Huawei Honor X7b в рамке + тачскрин (черный) (100% LCD)","1 850 ₽","/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_mobilnykh_ustroystv/displei_2/dlya_huawei/displey_dlya_huawei_honor_x7b_v_ramke_tachskrin_chernyy_100_lcd.html","В наличии:Достаточно","1 180 ₽?"
"1756090736-3","https://green-spark.ru/search/?q=%D0%94%D0%B8%D1%81%D0%BF%D0%BB%D0%B5%D0%B9+%D0%B4%D0%BB%D1%8F&sectionId=0&onlyAvailable=true","","Дисплей для Tecno Camon 20/20 Pro 4G в рамке + тачскрин (черный) (100% LCD)","4 400 ₽","/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_mobilnykh_ustroystv/displei_2/dlya_tecno/displey_dlya_tecno_camon_20_20_pro_4g_v_ramke_tachskrin_chernyy_100_lcd.html","В наличии:Мало","3 100 ₽?"
"1756090736-4","https://green-spark.ru/search/?q=%D0%94%D0%B8%D1%81%D0%BF%D0%BB%D0%B5%D0%B9+%D0%B4%D0%BB%D1%8F&sectionId=0&onlyAvailable=true","","Дисплей для Xiaomi Redmi 12 в рамке + тачскрин (черный) 100%","2 250 ₽","/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_mobilnykh_ustroystv/displei_2/dlya_xiaomi/displey_dlya_xiaomi_redmi_12_v_ramke_tachskrin_chernyy_100.html","В наличии:Достаточно","1 700 ₽?"
"1756090736-5","https://green-spark.ru/search/?q=%D0%94%D0%B8%D1%81%D0%BF%D0%BB%D0%B5%D0%B9+%D0%B4%D0%BB%D1%8F&sectionId=0&onlyAvailable=true","","Дисплей для Xiaomi Redmi 12 (23053RN02Y) в рамке + тачскрин (черный) (100% LCD)","1 790 ₽","/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_mobilnykh_ustroystv/displei_2/dlya_xiaomi/displey_dlya_xiaomi_redmi_12_23053rn02y_v_ramke_tachskrin_chernyy_100_lcd.html","В наличии:Достаточно","1 080 ₽?"
"1756090736-6","https://green-spark.ru/search/?q=%D0%94%D0%B8%D1%81%D0%BF%D0%BB%D0%B5%D0%B9+%D0%B4%D0%BB%D1%8F&sectionId=0&onlyAvailable=true","","Дисплей для Huawei Honor X8 4G в рамке + тачскрин (черный) (100% LCD)","2 200 ₽","/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_mobilnykh_ustroystv/displei_2/dlya_huawei/displey_dlya_huawei_honor_x8_4g_v_ramke_tachskrin_chernyy_100_lcd.html","В наличии:Достаточно","1 510 ₽?"
"1756090736-7","https://green-spark.ru/search/?q=%D0%94%D0%B8%D1%81%D0%BF%D0%BB%D0%B5%D0%B9+%D0%B4%D0%BB%D1%8F&sectionId=0&onlyAvailable=true","","Дисплей для Realme GT ME/GT 5G/GT Neo/Oneplus Nord 2 5G/2T/CE/Reno 5/5K/6 + тачскрин (черный) (OLED)","4 250 ₽","/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_mobilnykh_ustroystv/displei_2/dlya_realme/displey_dlya_realme_gt_me_gt_5g_gt_neo_oneplus_nord_2_5g_2t_ce_reno_5_5k_6_tachskrin_chernyy_oled.html","В наличии:Достаточно","2 880 ₽?"
"1756090736-8","https://green-spark.ru/search/?q=%D0%94%D0%B8%D1%81%D0%BF%D0%BB%D0%B5%D0%B9+%D0%B4%D0%BB%D1%8F&sectionId=0&onlyAvailable=true","","Дисплей для Realme C55 (RMX3710) в рамке + тачскрин (черный) (100% LCD)","1 750 ₽","/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_mobilnykh_ustroystv/displei_2/dlya_realme/displey_dlya_realme_c55_rmx3710_v_ramke_tachskrin_chernyy_100_lcd.html","В наличии:Достаточно","1 070 ₽?"
"1756090736-9","https://green-spark.ru/search/?q=%D0%94%D0%B8%D1%81%D0%BF%D0%BB%D0%B5%D0%B9+%D0%B4%D0%BB%D1%8F&sectionId=0&onlyAvailable=true","","Дисплей для Xiaomi Redmi A3 в рамке + тачскрин (черный) (100% LCD)","1 450 ₽","/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_mobilnykh_ustroystv/displei_2/dlya_xiaomi/displey_dlya_xiaomi_redmi_a3_v_ramke_tachskrin_chernyy_100_lcd.html","В наличии:Достаточно","940 ₽?"
"1756090736-10","https://green-spark.ru/search/?q=%D0%94%D0%B8%D1%81%D0%BF%D0%BB%D0%B5%D0%B9+%D0%B4%D0%BB%D1%8F&sectionId=0&onlyAvailable=true","","Дисплей для Realme 10 4G (RMX3630) в рамке + тачскрин (черный) (100% LCD)","8 350 ₽","/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_mobilnykh_ustroystv/displei_2/dlya_realme/displey_dlya_realme_10_4g_rmx3630_v_ramke_tachskrin_chernyy_100_lcd.html","В наличии:Мало","5 750 ₽?"
