web-scraper-order,web-scraper-start-url,page,name,price,link
"1746591819-1","https://138gsm.ru/catalog?cat_id=1565&s=&sort=0&na=on","","АКБ iPhone 11 Original","1 700","/sku/65377/akb_iphone_11_original"
"1746591819-2","https://138gsm.ru/catalog?cat_id=1565&s=&sort=0&na=on","","АКБ ZTE A910/Blade V7/V7 Plus/Z10 (Li3927T44P8h786035) HC","350","/sku/45328/akb_zte_a910_blade_v7_v7_plus_z10_li3927t44p8h786035_hc"
"1746591819-3","https://138gsm.ru/catalog?cat_id=1565&s=&sort=0&na=on","","АКБ ZTE A3 (2019)/L8 (Li3820T43P4h695945) HC","250","/sku/63597/akb_zte_a3_2019_l8_li3820t43p4h695945_hc"
"1746591819-4","https://138gsm.ru/catalog?cat_id=1565&s=&sort=0&na=on","","АКБ Nokia BL-5C, 1020 mAh HC","320","/sku/25059/akb_nokia_bl_5c_1020_mah_hc"
"1746591819-5","https://138gsm.ru/catalog?cat_id=1565&s=&sort=0&na=on","","АКБ Honor View 10/Honor 8X/9X Lite/Honor 20 (HB386590ECW) HC","750","/sku/45312/akb_honor_view_10_honor_8x_9x_lite_honor_20_hb386590ecw_hc"
"1746591819-6","https://138gsm.ru/catalog?cat_id=1565&s=&sort=0&na=on","","АКБ Huawei MediaPad T3 10.0""/MediaPad T1/M2 8.0"" HB3080G1EBW/HB3080G1EBC HC","990","/sku/70388/akb_huawei_mediapad_t3_10_0_mediapad_t1_m2_8_0_hb3080g1ebw_hb3080g1ebc_hc"
"1746591819-7","https://138gsm.ru/catalog?cat_id=1565&s=&sort=0&na=on","","АКБ Samsung A51 (EB-BA515ABY) Original","750","/sku/70860/akb_samsung_a51_eb_ba515aby_original"
"1746591819-8","https://138gsm.ru/catalog?cat_id=1565&s=&sort=0&na=on","","АКБ Oppo A1K/Realme C2 (BLP711) HC","790","/sku/77969/akb_oppo_a1k_realme_c2_blp711_hc"
"1746591819-9","https://138gsm.ru/catalog?cat_id=1565&s=&sort=0&na=on","","АКБ Realme 5/C3/C11/C11 2021/C21/C21Y/Narzo 50i (BLP729) HС","750","/sku/72211/akb_realme_5_c3_c11_c11_2021_c21_c21y_narzo_50i_blp729_hs"
"1746591819-10","https://138gsm.ru/catalog?cat_id=1565&s=&sort=0&na=on","","АКБ Tecno Spark Go 2023/Go 2024/Go 1/POP 7 (BL-49NT) HC","750","/sku/84811/akb_tecno_spark_go_2023_go_2024_go_1_pop_7_bl_49nt_hc"
"1746591819-11","https://138gsm.ru/catalog?cat_id=1565&s=&sort=0&na=on","","АКБ Infinix Hot 11S/12 Pro (BL-49GX) HC","750","/sku/77986/akb_infinix_hot_11s_12_pro_bl_49gx_hc"
"1746591819-12","https://138gsm.ru/catalog?cat_id=1565&s=&sort=0&na=on","","АКБ Xiaomi Poco X3/X3 Pro BN57 HC","950","/sku/72221/akb_xiaomi_poco_x3_x3_pro_bn57_hc"
"1746591819-13","https://138gsm.ru/catalog?cat_id=1565&s=&sort=0&na=on","","АКБ универсальный 043450P  (4*34*50mm, 1000 mAh)","270","/sku/60650/akb_universalnyy_043450p_4_34_50mm_1000_mah"
"1746591819-14","https://138gsm.ru/catalog?cat_id=1565&s=&sort=0&na=on","","АКБ Samsung A20/A30/A50/A30S/A50S (EB-BA-205ABN/EB-BA505ABU) Original","750","/sku/80636/akb_samsung_a20_a30_a50_a30s_a50s_eb_ba_205abn_eb_ba505abu_original"
"1746591819-15","https://138gsm.ru/catalog?cat_id=1565&s=&sort=0&na=on","","АКБ Xiaomi Redmi Note 10 Pro/Redmi Note 9 Pro 4G BN53 HC","850","/sku/72232/akb_xiaomi_redmi_note_10_pro_redmi_note_9_pro_4g_bn53_hc"
"1746591819-16","https://138gsm.ru/catalog?cat_id=1565&s=&sort=0&na=on","","АКБ Realme 9 Pro/9i (BLP911) HC","750","/sku/77973/akb_realme_9_pro_9i_blp911_hc"
"1746591819-17","https://138gsm.ru/catalog?cat_id=1565&s=&sort=0&na=on","","АКБ Realme 8i/C30/C30S/C31/C33/C35/Note 50 (BLP877) HC","750","/sku/77971/akb_realme_8i_c30_c30s_c31_c33_c35_note_50_blp877_hc"
