web-scraper-order,web-scraper-start-url,page,name,price,wholesale,link
"1756612670-1","https://138gsm.ru/catalog?cat_id=1461&s=&sort=0&na=on","","Дисплей iPhone 11 + тачскрин (Оригинал OEM/FOG)","2 090","1 900","/sku/65347/displey_iphone_11_tachskrin_original_oem_fog"
"1756612670-2","https://138gsm.ru/catalog?cat_id=1461&s=&sort=0&na=on","","Дисплей iPhone 11 Pro + тачскрин (Копия - Hard OLED)","2 790","2 500","/sku/63530/displey_iphone_11_pro_tachskrin_kopiya_hard_oled"
"1756612670-3","https://138gsm.ru/catalog?cat_id=1461&s=&sort=0&na=on","","Дисплей iPhone 6 + тач белый  (Оригинал OEM/FOG)","890","890","/sku/27879/displey_iphone_6_tach_belyy_original_oem_fog"
"1756612670-4","https://138gsm.ru/catalog?cat_id=1461&s=&sort=0&na=on","","Дисплей Asus ZenPad 7.0 (ZE370C/CG) + тачскрин белый","50","50","/sku/34303/displey_asus_zenpad_7_0_ze370c_cg_tachskrin_belyy"
"1756612670-5","https://138gsm.ru/catalog?cat_id=1461&s=&sort=0&na=on","","Дисплей iPhone 6 Plus +тач белый  (Копия - TM)","690","690","/sku/41313/displey_iphone_6_plus_tach_belyy_kopiya_tm"
"1756612670-6","https://138gsm.ru/catalog?cat_id=1461&s=&sort=0&na=on","","Дисплей iPhone 12/12 Pro + тачскрин (Копия - Incell HD)","1 490","1 200","/sku/77545/displey_iphone_12_12_pro_tachskrin_kopiya_incell_hd"
"1756612670-7","https://138gsm.ru/catalog?cat_id=1461&s=&sort=0&na=on","","Дисплей TCL 10L (T770H/T770B/4187U) + тачскрин черный","590","590","/sku/77698/displey_tcl_10l_t770h_t770b_4187u_tachskrin_chernyy"
"1756612670-8","https://138gsm.ru/catalog?cat_id=1461&s=&sort=0&na=on","","Дисплей iPhone 6 + тач черный (Оригинал OEM/FOG)","890","890","/sku/27878/displey_iphone_6_tach_chernyy_original_oem_fog"
"1756612670-9","https://138gsm.ru/catalog?cat_id=1461&s=&sort=0&na=on","","Дисплей iPhone X + тачскрин (Копия - Hard OLED)","2 490","2 200","/sku/50562/displey_iphone_x_tachskrin_kopiya_hard_oled"
"1756612670-10","https://138gsm.ru/catalog?cat_id=1461&s=&sort=0&na=on","","Дисплей iPhone XR + тачскрин (Оригинал OEM/FOG)","1 990","1 800","/sku/65348/displey_iphone_xr_tachskrin_original_oem_fog"
"1756612670-11","https://138gsm.ru/catalog?cat_id=1461&s=&sort=0&na=on","","Дисплей iPhone 8 Plus + тач черный (Оригинал OEM/FOG)","1 590","1 400","/sku/48378/displey_iphone_8_plus_tach_chernyy_original_oem_fog"
"1756612670-12","https://138gsm.ru/catalog?cat_id=1461&s=&sort=0&na=on","","Дисплей Tecno Spark Go (2024) (BG6) + тачскрин черный (Premium)","1 040","950","/sku/82710/displey_tecno_spark_go_2024_bg6_tachskrin_chernyy_premium"
"1756612670-13","https://138gsm.ru/catalog?cat_id=1461&s=&sort=0&na=on","","Дисплей iPhone 11 Pro Max + тачскрин (Оригинал OEM/FOG)","5 090","4 700","/sku/65342/displey_iphone_11_pro_max_tachskrin_original_oem_fog"
"1756612670-14","https://138gsm.ru/catalog?cat_id=1461&s=&sort=0&na=on","","Дисплей Samsung A325F A32 в сборе черный (OLED)","2 290","2 000","/sku/72873/displey_samsung_a325f_a32_v_sbore_chernyy_oled"
"1756612670-15","https://138gsm.ru/catalog?cat_id=1461&s=&sort=0&na=on","","Дисплей iPhone 15 Pro Max + тачскрин (Оригинал OEM/FOG)","18 590","18 100","/sku/83607/displey_iphone_15_pro_max_tachskrin_original_oem_fog"
"1756612670-16","https://138gsm.ru/catalog?cat_id=1461&s=&sort=0&na=on","","Дисплей iPhone 11 Pro Max + тачскрин (Копия - Hard OLED)","3 390","3 000","/sku/72424/displey_iphone_11_pro_max_tachskrin_kopiya_hard_oled"
"1756612670-17","https://138gsm.ru/catalog?cat_id=1461&s=&sort=0&na=on","","Дисплей iPhone 5S/SE + тач черный (Оригинал OEM/FOG)","1 190","1 040","/sku/37020/displey_iphone_5s_se_tach_chernyy_original_oem_fog"
"1756612670-18","https://138gsm.ru/catalog?cat_id=1461&s=&sort=0&na=on","","Дисплей iPhone 6S Plus +тач черный (Оригинал OEM/FOG)","1 790","1 600","/sku/36248/displey_iphone_6s_plus_tach_chernyy_original_oem_fog"
"1756612670-19","https://138gsm.ru/catalog?cat_id=1461&s=&sort=0&na=on","","Дисплей iPhone 7 Plus + тач черный (Оригинал OEM/FOG)","1 590","1 400","/sku/37830/displey_iphone_7_plus_tach_chernyy_original_oem_fog"
"1756612670-20","https://138gsm.ru/catalog?cat_id=1461&s=&sort=0&na=on","","Дисплей iPhone 16 + тачскрин + датчик (Оригинал 100% снятый)","20 790","20 100","/sku/85593/displey_iphone_16_tachskrin_datchik_original_100_snyatyy"
"1756612670-21","https://138gsm.ru/catalog?cat_id=1461&s=&sort=0&na=on","","Дисплей Itel A70 (A665L) + тачскрин черный","1 040","950","/sku/81812/displey_itel_a70_a665l_tachskrin_chernyy"
