web-scraper-order,web-scraper-start-url,page,name,price,wholesale,link
"1751783763-1","https://irkutsk.moba.ru/catalog/akkumulyatory-1/filter/imyie_stores4filter-is-irkutsk/apply/","","Аккумулятор для Infinix Note 30 Pro/30 VIP/Zero 30 4G/5G (BL-49PX) - Battery Collection (Премиум)","850","645","/catalog/akb/168570/"
"1751783763-2","https://irkutsk.moba.ru/catalog/akkumulyatory-1/filter/imyie_stores4filter-is-irkutsk/apply/","","Аккумулятор для Apple iPhone 12/12 Pro - Battery Collection с верификацией (Премиум) - усиленная 3310 mAh","1 400","1 120","/catalog/akb/166680/"
"1751783763-3","https://irkutsk.moba.ru/catalog/akkumulyatory-1/filter/imyie_stores4filter-is-irkutsk/apply/","","Аккумулятор для Apple iPhone 12/12 Pro - Battery Collection с верификацией (Премиум)","1 250","995","/catalog/akb/166653/"
"1751783763-4","https://irkutsk.moba.ru/catalog/akkumulyatory-1/filter/imyie_stores4filter-is-irkutsk/apply/","","Аккумулятор для Apple iPhone 13 Pro - Battery Collection с верификацией (Премиум) - усиленная 3300 mAh","1 850","1 495","/catalog/akb/166683/"
"1751783763-5","https://irkutsk.moba.ru/catalog/akkumulyatory-1/filter/imyie_stores4filter-is-irkutsk/apply/","","Аккумулятор для Apple iPhone 12 mini - Battery Collection с верификацией (Премиум)","1 350","1 060","/catalog/akb/166642/"
"1751783763-6","https://irkutsk.moba.ru/catalog/akkumulyatory-1/filter/imyie_stores4filter-is-irkutsk/apply/","","Аккумулятор для Apple iPhone 13 - Battery Collection с верификацией (Премиум) - усиленная 3500 mAh","1 600","1 300","/catalog/akb/166681/"
"1751783763-7","https://irkutsk.moba.ru/catalog/akkumulyatory-1/filter/imyie_stores4filter-is-irkutsk/apply/","","Аккумулятор для Apple iPhone 13 Pro Max - Battery Collection с верификацией (Премиум)","2 050","1 680","/catalog/akb/166662/"
"1751783763-8","https://irkutsk.moba.ru/catalog/akkumulyatory-1/filter/imyie_stores4filter-is-irkutsk/apply/","","Аккумулятор для Apple iPhone 13 mini - Battery Collection с верификацией (Премиум)","1 450","1 180","/catalog/akb/166658/"
"1751783763-9","https://irkutsk.moba.ru/catalog/akkumulyatory-1/filter/imyie_stores4filter-is-irkutsk/apply/","","Аккумулятор для Apple iPhone 13 Pro Max - Battery Collection с верификацией (Премиум) - усиленная 4700 mAh","2 100","1 740","/catalog/akb/166684/"
"1751783763-10","https://irkutsk.moba.ru/catalog/akkumulyatory-1/filter/imyie_stores4filter-is-irkutsk/apply/","","Аккумулятор для Apple iPhone 12 Pro Max - Battery Collection с верификацией (Премиум) - усиленная 4310 mAh","1 850","1 495","/catalog/akb/166651/"
"1751783763-11","https://irkutsk.moba.ru/catalog/akkumulyatory-1/filter/imyie_stores4filter-is-irkutsk/apply/","","Аккумулятор для Apple iPhone 13 Pro - Battery Collection с верификацией (Премиум)","1 750","1 400","/catalog/akb/166660/"
"1751783763-12","https://irkutsk.moba.ru/catalog/akkumulyatory-1/filter/imyie_stores4filter-is-irkutsk/apply/","","Аккумулятор для Apple iPhone 12 mini - Battery Collection с верификацией (Премиум) - усиленная 2400 mAh","1 400","1 120","/catalog/akb/166646/"
"1751783763-13","https://irkutsk.moba.ru/catalog/akkumulyatory-1/filter/imyie_stores4filter-is-irkutsk/apply/","","Аккумулятор для Apple iPhone 13 mini - Battery Collection с верификацией (Премиум) - усиленная 2500 mAh","1 600","1 280","/catalog/akb/166682/"
"1751783763-14","https://irkutsk.moba.ru/catalog/akkumulyatory-1/filter/imyie_stores4filter-is-irkutsk/apply/","","Аккумулятор для Apple iPhone 14 - Battery Collection с верификацией (Премиум)","1 900","1 520","/catalog/akb/166664/"
"1751783763-15","https://irkutsk.moba.ru/catalog/akkumulyatory-1/filter/imyie_stores4filter-is-irkutsk/apply/","","Аккумулятор для Apple iPhone 14 Pro Max - Battery Collection с верификацией (Премиум)","2 350","1 920","/catalog/akb/166671/"
"1751783763-16","https://irkutsk.moba.ru/catalog/akkumulyatory-1/filter/imyie_stores4filter-is-irkutsk/apply/","","Аккумулятор для Apple iPhone 12 Pro Max - Battery Collection с верификацией (Премиум)","1 700","1 400","/catalog/akb/166649/"
