"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";"Characteristics:Время ремонта";"Characteristics:Время чистки";"Characteristics:Объем оперативной памяти";"Characteristics:Объем встроенной памяти";Characteristics:Цвет;Weight;Length;Width;Height
706902467052;;;;"iPhone 11;Ремонт";"Замена дисплея на iPhone 11";"Замена дисплея на iPhone 11, 11 Pro и 11 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";"Замена дисплея на iPhone 11, 11 Pro и 11 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";https://static.tildacdn.com/stor6536-6163-4831-b661-666433353362/56869158.png;2000.00;;;;;3m0Ad8gL4PdFZKzj4D6e;;"2-3 часа";;;;;0;0;0;0
128345121962;;;;"iPhone 11;Ремонт";"Замена аккумулятора на iPhone 11";"Замена аккумулятора (акб) на iPhone 11, 11 Pro и 11 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";"Замена аккумулятора (акб) на iPhone 11, 11 Pro и 11 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";https://static.tildacdn.com/stor3864-3164-4433-b235-663931363462/10984035.png;2000.00;;;;;MaZVaomxviGLMj95oE4b;;"2 часа";;;;;0;0;0;0
656996392802;;;;"iPhone 11;Ремонт";"Замена задней крышки на iPhone 11";"Замена задней крышки на iPhone 11, 11 Pro и 11 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";"Замена задней крышки на iPhone 11, 11 Pro и 11 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";https://static.tildacdn.com/stor3736-3435-4234-a135-393436343066/55812130.png;4000.00;;;;;2Ng9taxEf1cEbKt7NI6j;;"3-4 часа";;;;;0;0;0;0
386932310992;;;;"iPhone 11;Ремонт";"Замена разъема зарядки на iPhone 11";"Замена разъема зарядки на iPhone 11, 11 Pro и 11 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";"Замена разъема зарядки на iPhone 11, 11 Pro и 11 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";https://static.tildacdn.com/stor3838-3833-4630-b230-383238666361/25885160.png;2000.00;;;;;dsaou5H62zuupbFlAyIZ;;"2 часа";;;;;0;0;0;0
920590901052;;;;"iPhone 11;Ремонт";"Замена вибромотора на iPhone 11";"Замена вибромотора на iPhone 11, 11 Pro и 11 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";"Замена вибромотора на iPhone 11, 11 Pro и 11 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";https://static.tildacdn.com/stor6537-3062-4433-b836-663961623038/19929949.png;1500.00;;;;;Y1J7RfbkrlhiNSHKcdBz;;"2 часа";;;;;0;0;0;0
126287805122;;;;"iPhone 11;Ремонт";"Замена передней камеры на iPhone 11";"Замена передней камеры на iPhone 11, 11 Pro и 11 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";"Замена передней камеры на iPhone 11, 11 Pro и 11 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";https://static.tildacdn.com/stor6561-3030-4630-b339-653633613733/79232881.png;2000.00;;;;;9L3XrGR9DVRuu4cJcZo6;;"2 часа";;;;;0;0;0;0
647591055902;;;;"iPhone 11;Ремонт";"Замена основной камеры на iPhone 11";"Замена основной камеры на iPhone 11, 11 Pro и 11 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";"Замена основной камеры на iPhone 11, 11 Pro и 11 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";https://static.tildacdn.com/stor6561-3030-4630-b339-653633613733/79232881.png;1500.00;;;;;V4iU46UGRXz2zg1BT1k7;;"2 часа";;;;;0;0;0;0
722400263932;;;;"iPhone 11;Ремонт";"Замена корпуса на iPhone 11";"Замена корпуса на iPhone 11, 11 Pro и 11 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";"Замена корпуса на iPhone 11, 11 Pro и 11 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";https://static.tildacdn.com/stor6364-6332-4239-b365-326438303464/26845348.png;3000.00;;;;;ve3S3NYokl8Z7ukZTCPS;;"4 часа";;;;;0;0;0;0
900186335482;;;;"iPhone 11;Ремонт";"Замена кнопок громкости на iPhone 11";"Замена кнопок громкости на iPhone 11, 11 Pro и 11 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";"Замена кнопок громкости на iPhone 11, 11 Pro и 11 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";https://static.tildacdn.com/stor3536-3363-4865-b433-666137373565/56389286.png;2000.00;;;;;KdcPNxgjy6MBsTiB7kYs;;"2 часа";;;;;0;0;0;0
809545614562;;;;"iPhone 11;Ремонт";"Замена кнопки включения на iPhone 11";"Замена кнопки включения на iPhone 11, 11 Pro и 11 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";"Замена кнопки включения на iPhone 11, 11 Pro и 11 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";https://static.tildacdn.com/stor3536-3363-4865-b433-666137373565/56389286.png;2000.00;;;;;P8m6EJHsrizFAoVtCSYB;;"2 часа";;;;;0;0;0;0
