Артикул;Название;Категория;Количество;Цена;Себестоимость
;АКБ Honor 4A/5A/Huawei Y6/Y5 II (HB4342A1RBC) HC;Запчасти > Аккумулятор;1;490;360
;АКБ Tecno Camon 20/20 Pro (4G-5G)/20 Pro+ (BL-49OT) HC;Запчасти > Аккумулятор;0;750;0
;АКБ Xiaomi Redmi 4/4 Prime BN42 HC;Запчасти > Аккумулятор;1;390;0
;АКБ iPhone 12/12 Pro Original;Запчасти > Аккумулятор;1;1950;1490
;АКБ iPhone 4 Original;Запчасти > Аккумулятор;1;360;310
;АКБ iPhone 7 Original;Запчасти > Аккумулятор;1;950;710
;АКБ iPhone 8 Plus Original;Запчасти > Аккумулятор;1;990;810
;АКБ для Xiaomi BN4A (Redmi Note 7);Запчасти > Аккумулятор;2;800;0
;АКБ для Xiaomi BN61 (Poco X3) Премиум;Запчасти > Аккумулятор;1;950;850
;Аккумулятор для Alcatel 3 (tlp043f1);Запчасти > Аккумулятор;0;500;0
;Аккумулятор для Apple iPhone 11 - Battery Collection (Премиум);Запчасти > Аккумулятор;1;850;635
;Аккумулятор для Apple iPhone 12/12 Pro - Battery Collection (Премиум);Запчасти > Аккумулятор;1;850;670
;Аккумулятор для Apple iPhone 8 - Battery Collection (Премиум);Запчасти > Аккумулятор;0;650;500
;Дисплей Samsung A415 (A41) in-cell;Запчасти > Дисплей;1;1900;0
;Дисплей Xiaomi Redmi 9A/Redmi 9C/Redmi 10A + тачскрин черный (Оригинал В раме БУ);Запчасти > Дисплей;1;1000;0
2000000566771;Дисплей Xiaomi Redmi Note 7/7 pro + тачскрин, черный (матрица оригинал);Запчасти > Дисплей;1;1500;0
;Дисплей для Infinix Hot 11;Запчасти > Дисплей;1;1500;0
2002000251497;Дисплей для Infinix Hot 40 Pro (X6837) в сборе с тачскрином Черный - OR;Запчасти > Дисплей;1;1350;1190
;Дисплей для Tecno Spark 8C (KG5n) модуль с рамкой Черный - (Оригинал в Раме БУ);Запчасти > Дисплей;1;1000;0
2002000247216;Дисплей для Tecno Spark 8C (KG5n) модуль с рамкой Черный - OR;Запчасти > Дисплей;1;1250;1090
